face,script,method,n_truth,n_pred,n_atf,recall,precision,first_err,count_ok,px_per_line,coverage
AO.9073__obverse,NA,dp,22,22,22,0.6818181818181818,0.6818181818181818,0.7167110184650946,True,108.1,1.0
AO.9073__reverse,NA,free,16,11,16,0.6875,1.0,0.8194109761118148,False,120.6,1.0
AO.9073__reverse,NA,comb,16,16,16,0.75,0.75,0.802479571151867,True,120.6,1.0
AO.9073__reverse,NA,dp,16,16,16,0.75,0.75,0.8298427552314689,True,120.6,1.0
BM.42264__reverse,OB,free,4,5,4,0.5,0.4,0.3972821559267784,False,187.0,1.0
BM.42264__reverse,OB,comb,4,4,4,0.25,0.25,0.08560554460798102,True,187.0,1.0
BM.42264__reverse,OB,dp,4,4,4,0.25,0.25,0.08400126653311465,True,187.0,1.0
BM.42266__obverse,OB,free,7,8,7,0.8571428571428571,0.75,0.6937759336099587,False,120.5,1.0
BM.42266__obverse,OB,comb,7,7,7,1.0,1.0,0.18257261410788406,True,120.5,1.0
BM.42266__obverse,OB,dp,7,7,7,1.0,1.0,0.15435684647302925,True,120.5,1.0
BM.141781__obverse,NA,free,36,3,37,0.0,0.0,15.158423996581,False,80.6,0.97
BM.141781__obverse,NA,comb,36,37,37,0.6111111111111112,0.5945945945945946,1.4693675666944352,True,80.6,0.97
BM.141781__obverse,NA,dp,36,37,37,0.75,0.7297297297297297,0.08398230923608592,True,80.6,0.97
BM.43204__face,OB,free,4,6,,0.75,nan,0.21878580201736786,False,101.1,nan
BM.43204__face,OB,comb,4,6,,0.75,nan,0.21878580201736786,False,101.1,nan
BM.43204__face,OB,dp,4,6,,0.75,nan,0.21878580201736786,False,101.1,nan
BM.43194__face,OB,free,6,5,,0.8333333333333334,nan,nan,False,104.2,nan
BM.43194__face,OB,comb,6,5,,0.8333333333333334,nan,nan,False,104.2,nan
BM.43194__face,OB,dp,6,5,,0.8333333333333334,nan,nan,False,104.2,nan
BM.42321__edge,OB,free,2,5,3,1.0,nan,nan,False,112.8,0.67
BM.42321__edge,OB,comb,2,3,3,1.0,nan,nan,True,112.8,0.67
BM.42321__edge,OB,dp,2,3,3,1.0,nan,nan,True,112.8,0.67
BM.42321__obverse,OB,free,3,7,6,0.6666666666666666,nan,0.6902222222222221,False,112.5,0.5
BM.42321__obverse,OB,comb,3,6,6,0.6666666666666666,nan,0.370222222222222,True,112.5,0.5
BM.42321__obverse,OB,dp,3,6,6,0.6666666666666666,nan,1.3186666666666669,True,112.5,0.5
BM.43731__obverse,OB,free,5,5,7,0.6,nan,0.9017572550220572,False,126.6,0.71
BM.43731__obverse,OB,comb,5,7,7,0.8,nan,0.9017572550220572,True,126.6,0.71
BM.43731__obverse,OB,dp,5,7,7,0.8,nan,0.8938583608672388,True,126.6,0.71
BM.43802__reverse,OB,free,3,7,4,1.0,nan,1.1459018489543558,False,119.8,0.75
BM.43802__reverse,OB,comb,3,4,4,1.0,nan,0.12753790905452272,True,119.8,0.75
BM.43802__reverse,OB,dp,3,4,4,0.6666666666666666,nan,0.544900179505274,True,119.8,0.75
BM.47339__face,OB,free,5,6,,0.6,nan,0.6288784146243925,False,459.5,nan
BM.47339__face,OB,comb,5,6,,0.6,nan,0.6288784146243925,False,459.5,nan
BM.47339__face,OB,dp,5,6,,0.6,nan,0.6288784146243925,False,459.5,nan
