face,side,n_lines,atf_lines,count_diff,agreement,proximity,n_boxes,spacing_cv,confidence
P357597_obverse,obverse,17,17,0,0.824,0.529,34,0.033,0.773
P357790_obverse,obverse,5,5,0,0.8,0.545,44,0.026,0.773
P359253_obverse,obverse,12,12,0,0.75,0.588,51,0.019,0.773
P359300_reverse,reverse,14,14,0,0.571,0.786,14,0.037,0.773
P357343_reverse,reverse,6,6,0,0.667,0.7,20,0.045,0.774
P357438_left,left,3,3,0,0.667,0.667,9,0.012,0.774
P357649_obverse,obverse,17,17,0,0.647,0.728,81,0.053,0.774
P357597_left,left,3,3,0,0.333,1.0,12,0.008,0.775
P358263_reverse,reverse,5,5,0,0.6,0.75,8,0.025,0.775
P358518_reverse,reverse,10,10,0,0.8,0.571,49,0.046,0.775
P358597_obverse,obverse,11,11,0,0.636,0.72,50,0.032,0.775
P359157_obverse,obverse,10,10,0,0.9,0.471,34,0.045,0.775
P359288_obverse,obverse,13,13,0,0.769,0.6,60,0.044,0.775
P359323_left,left,3,3,0,0.333,1.0,5,0.009,0.775
P390675_obverse,obverse,10,10,0,0.6,0.762,21,0.038,0.775
P416511_obverse,obverse,11,,,0.909,0.692,39,0.276,0.775
P333901_obverse,obverse,14,14,0,0.786,0.561,41,0.019,0.776
P357362_left,left,4,4,0,0.75,0.581,43,0.003,0.776
P357793_left,left,3,3,0,0.667,0.667,6,0.006,0.776
P358203_obverse,obverse,10,10,0,0.8,0.609,23,0.082,0.776
P358243_reverse,reverse,9,9,0,0.778,0.571,28,0.022,0.776
P389610_reverse,reverse,6,,,0.833,0.8,15,0.304,0.776
P389657_reverse,reverse,9,,,0.889,0.542,24,0.103,0.776
P260362_obverse,obverse,10,10,0,0.8,0.56,25,0.03,0.777
P333884_reverse,reverse,8,8,0,0.75,0.605,38,0.023,0.777
P359055_obverse,obverse,14,14,0,0.643,0.702,47,0.015,0.777
P368447_reverse,reverse,14,,,0.857,0.57,100,0.097,0.777
P390553_reverse,reverse,3,3,0,0.667,0.667,6,0.003,0.777
P250548_reverse,reverse,9,,,0.889,0.656,32,0.211,0.778
P333888_left,left,2,2,0,0.5,0.833,6,0.0,0.778
P333885_obverse,obverse,24,24,0,0.833,0.58,100,0.08,0.778
P357344_obverse,obverse,11,11,0,0.636,0.733,30,0.037,0.778
P357583_reverse,reverse,9,9,0,0.889,0.476,42,0.032,0.778
P357588_obverse,obverse,17,17,0,0.824,0.593,91,0.082,0.778
P357696_reverse,reverse,21,21,0,0.762,0.62,100,0.047,0.778
P357903_obverse,obverse,9,9,0,0.889,0.483,29,0.036,0.778
P358703_left,left,3,3,0,0.667,0.667,12,0.0,0.778
P359248_reverse,reverse,8,8,0,0.75,0.636,22,0.053,0.778
P359282_left,left,4,4,0,0.75,0.6,15,0.015,0.778
P361143_left,left,2,2,0,1.0,0.333,6,0.0,0.778
P389651_reverse,reverse,5,,,0.8,0.625,8,0.092,0.778
P359198_obverse,obverse,8,8,0,0.875,0.5,20,0.037,0.779
P250564_obverse,obverse,5,,,0.8,0.609,64,0.07,0.78
P260365_left,left,5,5,0,0.8,0.556,9,0.015,0.78
P361054_reverse,reverse,8,8,0,0.75,0.633,30,0.045,0.78
P333917_obverse,obverse,13,13,0,0.923,0.441,59,0.02,0.781
P357566_reverse,reverse,10,10,0,0.8,0.585,41,0.043,0.781
P357657_left,left,4,4,0,0.75,0.609,23,0.015,0.781
P359079_reverse,reverse,15,15,0,0.6,0.786,14,0.042,0.781
P359112_obverse,obverse,11,11,0,0.636,0.727,33,0.02,0.781
P359240_left,left,3,3,0,0.667,0.7,10,0.023,0.781
P361129_left,left,3,3,0,0.667,0.684,19,0.005,0.782
P357655_obverse,obverse,8,8,0,0.625,0.778,27,0.053,0.783
P359348_obverse,obverse,8,8,0,0.875,0.536,28,0.063,0.783
P393106_reverse,reverse,10,10,0,0.4,1.0,7,0.052,0.783
P357411_reverse,reverse,10,10,0,0.6,0.792,24,0.041,0.784
